EntrezID	TCGA-A7-A13G	TCGA-AC-A23H	TCGA-AC-A2FB	TCGA-BH-A0AZ	TCGA-BH-A0B5	TCGA-BH-A0B7	TCGA-BH-A0BS	TCGA-BH-A0BT	TCGA-BH-A0BW	TCGA-BH-A0BZ	TCGA-BH-A0C3	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0DL	TCGA-BH-A0DO	TCGA-BH-A0DT	TCGA-BH-A0DV	TCGA-BH-A0H5	TCGA-BH-A0HA	TCGA-BH-A18J	TCGA-BH-A18K	TCGA-BH-A18L	TCGA-BH-A18M	TCGA-BH-A18N	TCGA-BH-A18P	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18S	TCGA-BH-A18U	TCGA-BH-A1EN	TCGA-BH-A1EO	TCGA-BH-A1ET	TCGA-BH-A1EU	TCGA-BH-A1EV	TCGA-BH-A1EW	TCGA-BH-A1F0	TCGA-BH-A1F2	TCGA-BH-A1F8	TCGA-BH-A1FC	TCGA-BH-A1FE	TCGA-BH-A1FG	TCGA-BH-A1FH	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A1FU	TCGA-BH-A203	TCGA-BH-A204	TCGA-BH-A208	TCGA-BH-A209	TCGA-E2-A153	TCGA-E2-A158	TCGA-E2-A15I	TCGA-E2-A15M	TCGA-E2-A1IG	TCGA-E2-A1L7	TCGA-E2-A1LB	TCGA-E2-A1LS	TCGA-E9-A1N4	TCGA-E9-A1N5	TCGA-E9-A1N9	TCGA-E9-A1NA	TCGA-E9-A1NF	TCGA-E9-A1NG	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RC	TCGA-E9-A1RD	TCGA-E9-A1RF	TCGA-E9-A1RH	TCGA-E9-A1RI	TCGA-GI-A2C8
100133991	4.515347	4.006101	4.102767	4.067854	4.460395	5.243524	4.694563	4.571404	5.835704	4.779985	3.928692	4.615287	3.438226	4.590297	4.813663	5.169432	3.380716	4.818840	4.101263	2.570682	3.309744	4.668658	4.461967	3.411196	4.135666	4.461195	3.497319	5.085990	5.179085	3.554466	2.779617	4.227187	4.581930	3.093881	4.983308	4.748708	4.045163	5.628750	4.117637	4.194977	5.034519	4.648425	5.315124	4.513263	4.574429	3.316291	5.149349	5.286959	2.386618	4.782561	4.011585	4.210030	5.708201	3.580592	6.636221	3.126758	2.653060	4.358994	3.472813	4.886379	5.885257	4.189326	4.008810	2.454465	6.332298	3.144862	3.942702	4.580592	3.734612	3.928351	4.838589	4.035527
100134229	6.738953	6.660608	6.993232	6.560622	8.077778	8.758778	5.001987	9.613679	7.436096	8.017022	6.250622	6.794343	6.937462	8.983497	7.563686	6.138067	7.780862	7.550022	6.326438	8.206022	7.644494	6.618619	6.413059	3.778923	4.925743	6.599959	5.534796	6.435400	7.157922	8.198317	8.372075	7.547456	8.003561	7.980961	6.757497	8.388404	8.160643	6.380821	6.882455	6.918083	7.705060	6.901035	6.487245	6.381475	6.139627	8.292578	7.687411	6.823590	7.474088	8.214947	7.506753	8.440986	7.575563	6.733837	6.738502	6.065355	6.482334	9.095521	7.120516	6.274109	7.052715	6.351075	6.742995	7.185413	5.165518	8.099051	7.947057	7.049864	7.974728	8.888354	6.090773	6.715440
100134259	2.353888	2.499144	3.801107	4.330888	3.585924	2.422502	-0.042457	2.865127	3.366938	3.594119	4.006702	2.070973	3.381643	3.059788	3.247320	3.488258	4.965678	2.677486	4.021089	2.942646	2.750306	-0.790859	3.555080	2.157432	2.010135	4.046159	2.497331	1.192889	2.740517	3.045443	4.552205	3.307807	2.971884	3.588649	2.523888	4.737119	3.419566	3.670330	2.322447	3.236799	2.790605	4.478499	-0.289651	4.535984	4.842360	3.922017	1.327342	3.588613	4.445521	2.050745	4.060497	3.914574	3.356735	3.788696	4.506938	3.541787	1.430660	4.859423	2.838952	3.564451	2.769772	1.891652	4.215259	4.551331	3.247988	2.305329	2.573471	2.741877	3.619131	4.851184	3.407244	3.508277
100134368	2.629520	1.058594	0.959844	1.745926	1.223361	-1.484388	-0.627271	3.076645	1.366924	2.795746	2.758772	1.945420	2.059701	0.889863	2.131853	0.630312	NaN	-1.410045	0.476745	NaN	1.961809	3.163418	0.139993	2.456990	2.010135	1.760774	2.419323	1.707481	2.077551	1.152378	2.364572	1.691132	2.045862	3.158014	1.845791	0.590243	2.934139	-0.204067	1.042364	0.429429	3.350016	1.308594	3.212772	2.535978	0.544683	0.792772	2.327342	2.182629	0.386590	1.413323	2.613037	1.262493	2.083724	0.529971	1.699596	0.956800	1.430660	0.586404	2.228880	2.564451	-1.137013	2.213565	2.630289	1.869516	2.663026	3.186675	4.808684	1.741877	0.771125	1.343408	1.822281	3.706221
100134713	3.194686	4.339316	3.661362	4.065374	3.699185	4.516280	3.694925	4.009867	3.513781	4.179798	3.218208	3.486006	4.262606	3.860099	3.717199	4.537644	3.866730	4.050763	4.507700	4.068482	4.457049	2.853077	3.015159	3.364853	3.457594	2.931475	3.156769	3.292929	3.350568	4.720569	4.404501	4.414332	3.701460	2.318143	3.167727	4.652670	3.612565	4.400920	4.280043	3.625422	4.543570	4.063736	4.185129	4.317347	2.866611	3.964260	4.071505	5.222376	3.660141	4.782718	4.241497	5.183336	4.226670	3.580592	3.787474	3.957283	3.168353	6.220612	3.788832	3.565049	5.907066	3.979669	4.557055	4.012738	3.741402	4.864875	4.138864	4.833249	5.136130	4.072397	4.221831	4.094380
100134868	3.193425	2.710658	1.696795	-1.061300	NaN	2.216051	2.179989	0.202136	2.260026	-0.727857	1.080726	-0.513955	1.737773	-0.695022	1.546857	1.800206	-1.748554	0.175045	2.592254	1.290542	0.824320	-0.790859	0.555031	1.626906	0.135666	3.082686	0.571337	3.811820	2.662502	1.344999	1.779638	2.307807	1.308885	NaN	NaN	1.104873	-1.709812	2.210888	NaN	0.107554	-0.457395	0.893518	0.125254	NaN	NaN	3.040665	2.767930	-2.139236	1.608998	0.565305	0.738552	-0.544771	1.306087	-0.277359	0.699552	1.541812	2.305153	0.586404	1.887837	1.979477	-0.137172	1.628587	1.308361	0.869477	0.078063	-0.357714	2.632361	0.363339	-0.550888	3.430847	1.170181	0.005759
100134869	2.640760	1.987830	2.909658	1.575506	2.740086	2.417677	2.620563	2.295282	4.430928	2.420321	3.035272	3.481493	2.994797	3.849939	2.641107	2.736280	NaN	1.514097	2.692963	2.976345	2.425540	1.396653	3.035342	2.868430	3.029683	3.895390	1.046421	1.151079	2.501567	1.720760	2.312346	1.454386	3.859612	2.981396	0.516620	2.045967	2.117097	0.913569	1.754802	3.057052	-0.300271	2.953582	1.825745	2.363816	2.318664	3.325674	3.098925	2.308273	-0.754626	1.524365	2.589236	5.331046	3.106968	3.637413	2.976089	2.628120	1.994652	3.135666	2.631733	3.493609	2.203452	2.640829	2.881253	1.246165	2.604949	2.369187	3.360758	2.214560	2.090752	2.513314	2.485530	2.782597
100144596	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
100144603	2.565378	3.608774	3.544770	1.745926	0.415975	1.685537	2.279531	2.202167	3.647038	2.272202	2.758772	3.695459	4.410212	2.474825	2.453781	2.437627	2.421345	3.344914	4.021089	3.731140	4.146240	2.668664	2.724999	2.456990	0.872632	2.345709	2.336855	3.339750	5.387404	3.432465	-0.805409	2.784253	2.478842	4.189034	2.331247	1.689836	2.290277	2.670319	2.819954	2.807952	3.752117	1.478506	2.825745	1.995412	2.767083	2.699618	3.912315	2.320138	2.801655	1.050745	3.613037	1.262493	1.306087	1.307545	1.699596	3.480394	3.752599	1.586404	3.068430	1.786847	2.769772	3.516129	3.478299	1.284573	3.447288	3.057398	3.688941	2.041418	2.536675	1.802814	1.170181	2.005795
100144604	5.976322	-1.748554	2.834286	2.639001	4.059857	4.446342	1.542555	-1.382702	-0.440459	1.442121	-1.241270	2.573471	3.825256	1.626813	5.054671	2.089702	2.710856	2.982346	2.351233	4.768618	3.202825	1.531169	3.198934	3.501388	4.194560	4.187023	3.497319	2.555473	3.136438	2.592923	1.194654	3.784242	2.478842	3.389333	1.983313	NaN	1.097611	3.965784	NaN	2.194970	2.934988	2.478506	2.983276	NaN	4.817700	0.377735	4.377977	0.445621	4.732399	4.528809	2.153611	6.669463	4.628033	4.148877	2.699574	4.086113	3.653060	2.323370	-0.434013	4.264889	0.447844	1.891652	5.966578	0.606442	1.078063	3.305314	1.895380	3.433747	5.449208	-1.656535	1.532766	7.639988
