mirID	TCGA-A7-A13G	TCGA-AC-A23H	TCGA-AC-A2FB	TCGA-BH-A0AZ	TCGA-BH-A0B5	TCGA-BH-A0B7	TCGA-BH-A0BS	TCGA-BH-A0BT	TCGA-BH-A0BW	TCGA-BH-A0BZ	TCGA-BH-A0C3	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0DL	TCGA-BH-A0DO	TCGA-BH-A0DT	TCGA-BH-A0DV	TCGA-BH-A0H5	TCGA-BH-A0HA	TCGA-BH-A18J	TCGA-BH-A18K	TCGA-BH-A18L	TCGA-BH-A18M	TCGA-BH-A18N	TCGA-BH-A18P	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18S	TCGA-BH-A18U	TCGA-BH-A1EN	TCGA-BH-A1EO	TCGA-BH-A1ET	TCGA-BH-A1EU	TCGA-BH-A1EV	TCGA-BH-A1EW	TCGA-BH-A1F0	TCGA-BH-A1F2	TCGA-BH-A1F8	TCGA-BH-A1FC	TCGA-BH-A1FE	TCGA-BH-A1FG	TCGA-BH-A1FH	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A1FU	TCGA-BH-A203	TCGA-BH-A204	TCGA-BH-A208	TCGA-BH-A209	TCGA-E2-A153	TCGA-E2-A158	TCGA-E2-A15I	TCGA-E2-A15M	TCGA-E2-A1IG	TCGA-E2-A1L7	TCGA-E2-A1LB	TCGA-E2-A1LS	TCGA-E9-A1N4	TCGA-E9-A1N5	TCGA-E9-A1N9	TCGA-E9-A1NA	TCGA-E9-A1NF	TCGA-E9-A1NG	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RC	TCGA-E9-A1RD	TCGA-E9-A1RF	TCGA-E9-A1RH	TCGA-E9-A1RI	TCGA-GI-A2C8
hsa-mir-564	NaN	-1.175322	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.879998	NaN	NaN	NaN	NaN	-2.363301	NaN	NaN	NaN	NaN	-0.881606	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.721958	NaN	NaN	-0.338075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.886508	NaN	NaN	NaN	NaN	NaN	NaN	-2.271663	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
hsa-mir-566	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
hsa-mir-567	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
hsa-mir-568	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
hsa-mir-569	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
hsa-mir-570	-2.324802	-0.853394	-3.363390	-2.077961	-2.204047	-1.404218	-1.162938	-1.219337	NaN	-1.403198	-1.018749	NaN	NaN	NaN	NaN	-0.979646	-1.215422	-0.295036	-0.974515	NaN	NaN	0.792312	-1.363297	NaN	NaN	NaN	-0.512217	NaN	-0.277940	NaN	NaN	-1.219774	-1.296470	1.130337	-1.666045	NaN	-0.046398	-1.137803	NaN	NaN	NaN	-1.258857	-1.239096	NaN	-0.244805	NaN	-2.136531	-0.978023	-2.851969	-0.096895	NaN	0.816285	-1.767649	-2.178633	NaN	-0.752950	-1.886508	0.122182	NaN	NaN	NaN	NaN	-0.865945	-3.271670	-2.308216	NaN	0.096601	NaN	-0.740844	NaN	-0.467673	-3.705665
hsa-mir-571	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
hsa-mir-572	NaN	-3.175325	NaN	NaN	-2.204047	NaN	NaN	NaN	NaN	-1.403198	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.207688	NaN	NaN	NaN	-0.445232	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.566733	NaN	-1.136531	NaN	NaN	-2.096894	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.325814	NaN	-1.467673	NaN
hsa-mir-573	NaN	-1.175322	-3.363390	NaN	NaN	NaN	NaN	NaN	0.688837	NaN	NaN	-1.327414	NaN	NaN	NaN	NaN	NaN	-1.879998	NaN	NaN	NaN	-1.207688	NaN	NaN	NaN	1.876695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.666045	NaN	NaN	-1.137803	NaN	-1.632182	NaN	NaN	NaN	NaN	NaN	-2.403076	-0.551568	-2.562985	NaN	-0.511933	NaN	NaN	NaN	NaN	NaN	-0.752950	NaN	-2.685171	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.419789	NaN	NaN	-2.325807	NaN	NaN	NaN
hsa-mir-574	8.454094	6.525118	5.889275	7.124161	6.072079	8.193834	7.953407	7.672447	7.952497	7.200427	7.528144	6.279917	7.135158	7.054356	5.909225	6.896872	7.831702	6.249284	6.811211	8.131497	7.691123	6.276128	6.781360	7.315648	6.553307	6.867650	5.995577	7.221683	6.336770	9.317613	6.521635	7.338648	7.215281	8.967964	7.305496	7.992288	7.133512	6.313409	8.436712	6.720967	5.433426	6.095760	6.715100	6.960393	7.253446	6.671068	4.746112	6.658603	7.126264	6.952953	6.956157	6.910803	7.189453	6.305186	6.613230	7.770613	6.980770	8.275553	3.958482	6.714154	7.528524	5.989879	7.353224	8.018355	6.730701	5.688734	8.232951	4.931037	7.830907	7.897968	6.854254	5.916390
