mirID	TCGA-A7-A13G	TCGA-AC-A23H	TCGA-AC-A2FB	TCGA-BH-A0AZ	TCGA-BH-A0B5	TCGA-BH-A0B7	TCGA-BH-A0BS	TCGA-BH-A0BT	TCGA-BH-A0BW	TCGA-BH-A0BZ	TCGA-BH-A0C3	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0DL	TCGA-BH-A0DO	TCGA-BH-A0DT	TCGA-BH-A0DV	TCGA-BH-A0H5	TCGA-BH-A0HA	TCGA-BH-A18J	TCGA-BH-A18K	TCGA-BH-A18L	TCGA-BH-A18M	TCGA-BH-A18N	TCGA-BH-A18P	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18S	TCGA-BH-A18U	TCGA-BH-A1EN	TCGA-BH-A1EO	TCGA-BH-A1ET	TCGA-BH-A1EU	TCGA-BH-A1EV	TCGA-BH-A1EW	TCGA-BH-A1F0	TCGA-BH-A1F2	TCGA-BH-A1F8	TCGA-BH-A1FC	TCGA-BH-A1FE	TCGA-BH-A1FG	TCGA-BH-A1FH	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A1FU	TCGA-BH-A203	TCGA-BH-A204	TCGA-BH-A208	TCGA-BH-A209	TCGA-E2-A153	TCGA-E2-A158	TCGA-E2-A15I	TCGA-E2-A15M	TCGA-E2-A1IG	TCGA-E2-A1L7	TCGA-E2-A1LB	TCGA-E2-A1LS	TCGA-E9-A1N4	TCGA-E9-A1N5	TCGA-E9-A1N9	TCGA-E9-A1NA	TCGA-E9-A1NF	TCGA-E9-A1NG	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RC	TCGA-E9-A1RD	TCGA-E9-A1RF	TCGA-E9-A1RH	TCGA-E9-A1RI	TCGA-GI-A2C8
hsa-let-7i	9.957114	9.825166	9.732629	9.969954	9.990722	10.010764	9.521831	9.672140	10.396494	9.780981	9.743142	9.925069	9.932942	10.051994	10.224981	10.249285	9.828752	9.975106	9.845855	10.381640	10.563534	10.304660	9.903924	9.772473	10.128074	10.054901	10.087650	10.182492	10.050310	10.468418	10.235110	9.704816	9.968964	9.451425	9.219659	9.982109	10.027126	10.404091	10.050316	10.173820	10.409499	9.861700	9.895780	10.505367	10.271545	10.045596	10.023910	9.734745	10.022539	10.144821	10.311865	10.102821	9.943273	10.258972	10.082265	10.396866	10.334577	9.144686	10.167247	10.247532	10.083997	9.955814	10.430066	9.678299	9.633954	10.394703	9.807190	9.263298	9.946658	10.104442	10.024689	8.872363
hsa-mir-1-1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.168810	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.306570	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.853835	NaN	NaN	4.615324
hsa-mir-1-2	3.221276	3.813524	3.473409	3.395963	6.096738	2.528221	2.188281	2.683455	2.802857	4.328023	2.743142	1.854277	3.032679	2.303533	3.177228	2.721664	3.260496	2.885074	2.631025	2.154746	4.278646	2.943204	2.871971	4.226809	3.383116	1.126584	2.658592	2.583974	2.244566	3.492284	4.793597	4.464273	2.649526	3.051538	2.612054	4.065367	3.112528	1.920851	3.806489	2.416152	3.908107	2.821168	2.832771	4.014747	0.807339	2.918719	2.524563	3.351905	2.263028	3.484917	3.158215	6.856660	3.550955	5.242222	1.907724	2.692333	2.863579	5.122508	2.467386	1.177143	0.745818	3.859890	4.646045	3.078154	4.407061	6.526587	3.897054	2.301366	5.047030	2.699301	2.743059	15.378160
hsa-mir-100	13.674161	15.064157	14.406439	13.987230	13.127299	14.581504	14.648406	14.386807	14.148116	13.369723	13.633311	13.429108	14.303150	14.130066	14.467203	14.333781	14.682367	13.882147	14.450237	14.661946	14.450309	14.381630	14.849978	14.494952	14.155491	15.191036	14.745016	13.970982	12.423698	14.267277	12.706177	13.810026	13.916979	14.781979	14.225213	13.547794	14.781935	14.515775	14.541066	14.631243	14.074739	14.906191	15.178849	15.013961	15.229054	14.744195	14.140307	13.439346	14.363835	13.859498	14.402145	14.037980	13.241846	14.121128	14.289038	13.732810	13.449168	14.168233	14.348022	13.487472	14.602802	13.938782	13.716585	13.569882	13.898880	13.263549	13.157052	13.899909	13.255647	13.885867	12.914051	11.481229
hsa-mir-101-1	13.406823	14.253095	14.714950	13.913006	13.194649	14.580431	13.971929	14.156479	13.952504	12.671107	14.608198	11.840297	13.495846	13.633397	14.736789	14.284560	13.808659	14.316793	14.351775	13.666993	13.308623	13.639012	13.818000	13.132958	13.604300	14.300290	14.263855	13.508601	13.458430	13.584380	13.474199	12.894664	14.017129	13.253007	13.083767	14.393680	14.244637	13.601085	13.754255	14.638029	13.549269	13.035058	12.742557	13.252141	12.741276	13.657712	13.825094	13.217484	14.918979	13.928605	13.630516	13.098261	13.157998	13.531416	13.130844	13.220388	13.883517	13.449303	14.759923	14.162344	14.283491	13.807965	12.942423	13.616722	13.230428	14.586770	13.008589	13.489062	13.495755	13.492810	12.886206	14.196176
hsa-mir-101-2	0.221276	2.228562	1.888447	-0.063469	1.385243	0.865256	1.270743	1.525914	1.362285	0.283628	1.965534	-0.145722	1.032679	0.829602	3.120645	2.136701	2.334496	0.840680	1.705026	1.832818	0.108721	1.995672	1.871971	2.288209	2.435583	3.024705	3.336664	1.168937	-0.755434	1.492284	1.257544	-0.016854	1.598900	1.532164	0.179094	1.573514	2.697490	1.920851	2.303989	2.738080	2.301450	2.055633	-0.974586	2.121662	2.222377	1.819184	2.225002	0.614940	1.619172	0.867534	1.627701	2.430395	1.381030	1.672367	0.529212	1.933341	2.278617	1.574072	0.560495	0.855215	2.205250	2.175391	0.453400	0.663117	0.085132	1.193509	1.272563	0.131441	0.953518	1.998861	1.447604	0.860437
hsa-mir-103-1	13.335290	13.186168	13.327942	13.196458	12.965643	12.654925	12.488364	12.987551	13.291807	13.219944	12.628329	13.340295	13.185534	13.193980	13.492639	13.558357	12.884570	13.024819	12.289283	13.579962	13.492830	13.423171	13.684282	13.833200	13.543547	13.344652	13.613418	13.871614	14.088144	13.482530	13.371905	13.040744	12.912714	12.853792	13.429571	12.660645	13.369747	12.846193	13.495219	12.784568	13.440332	13.737882	13.705940	13.150358	13.912593	13.260386	13.154887	13.030710	12.715695	13.027018	13.718144	13.744497	13.174390	13.467747	13.313888	13.476596	13.023976	13.682776	12.522442	13.360406	13.021433	12.683469	13.165282	13.190431	13.097815	14.494152	13.631077	13.184646	13.320699	13.487454	13.666772	12.918301
hsa-mir-103-1-as	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
hsa-mir-103-2	1.221276	0.865992	0.947340	2.184459	1.970205	-0.134745	1.685781	-0.589563	1.554930	1.283628	1.858619	3.313709	2.295714	1.119108	0.061751	1.426208	1.334497	1.747570	1.705026	0.832818	1.693683	1.773279	0.287008	0.440212	0.628229	1.474508	-1.248300	0.583974	2.414491	2.340281	3.064899	1.983147	1.791545	1.084705	1.664522	1.821441	1.305173	2.813936	1.593495	1.153118	0.649374	1.541060	1.025416	1.899270	1.222377	-1.988172	-0.475437	2.489409	1.867100	2.557849	0.042738	1.108468	2.146565	0.994294	-0.207753	2.232902	0.278616	0.059499	1.730420	3.247532	-0.254183	1.368037	2.289901	2.806074	2.454366	2.379922	2.312092	-0.868558	2.700752	1.583824	2.158097	2.383998
hsa-mir-103-2-as	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
