EntrezID	TCGA-A7-A13G	TCGA-AC-A23H	TCGA-AC-A2FB	TCGA-BH-A0AZ	TCGA-BH-A0B5	TCGA-BH-A0B7	TCGA-BH-A0BS	TCGA-BH-A0BT	TCGA-BH-A0BW	TCGA-BH-A0BZ	TCGA-BH-A0C3	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0DL	TCGA-BH-A0DO	TCGA-BH-A0DT	TCGA-BH-A0DV	TCGA-BH-A0H5	TCGA-BH-A0HA	TCGA-BH-A18J	TCGA-BH-A18K	TCGA-BH-A18L	TCGA-BH-A18M	TCGA-BH-A18N	TCGA-BH-A18P	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18S	TCGA-BH-A18U	TCGA-BH-A1EN	TCGA-BH-A1EO	TCGA-BH-A1ET	TCGA-BH-A1EU	TCGA-BH-A1EV	TCGA-BH-A1EW	TCGA-BH-A1F0	TCGA-BH-A1F2	TCGA-BH-A1F8	TCGA-BH-A1FC	TCGA-BH-A1FE	TCGA-BH-A1FG	TCGA-BH-A1FH	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A1FU	TCGA-BH-A203	TCGA-BH-A204	TCGA-BH-A208	TCGA-BH-A209	TCGA-E2-A153	TCGA-E2-A158	TCGA-E2-A15I	TCGA-E2-A15M	TCGA-E2-A1IG	TCGA-E2-A1L7	TCGA-E2-A1LB	TCGA-E2-A1LS	TCGA-E9-A1N4	TCGA-E9-A1N5	TCGA-E9-A1N9	TCGA-E9-A1NA	TCGA-E9-A1NF	TCGA-E9-A1NG	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RC	TCGA-E9-A1RD	TCGA-E9-A1RF	TCGA-E9-A1RH	TCGA-E9-A1RI	TCGA-GI-A2C8
286967	3.456819	3.161130	3.395598	2.192857	1.793355	3.595098	2.395529	2.853157	3.178412	1.989684	3.501095	2.254050	3.260206	3.691255	3.311968	2.794270	2.866789	3.902691	3.555804	0.418892	3.147616	2.557606	3.518384	3.047399	1.578359	3.721930	2.590291	1.509088	3.085867	3.631034	2.106784	3.671531	3.620598	3.225383	2.763348	2.539531	1.670432	3.446349	3.050328	3.840020	2.992732	2.617063	2.889357	3.332794	3.453860	3.769137	2.827839	2.214809	2.260267	3.236554	2.768248	2.492750	2.675184	2.049073	1.402777	2.951625	2.171943	1.889824	3.377929	1.013498	3.114300	1.425083	2.335112	1.839073	2.864255	2.569078	-0.516429	3.121645	2.852618	2.551541	2.213254	0.048376
29018	NaN	-1.482775	-0.733603	NaN	NaN	NaN	NaN	NaN	-0.213906	NaN	NaN	-1.205231	NaN	-0.666347	-0.388544	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.229044	NaN	NaN	NaN	NaN	NaN	NaN	-0.972280	NaN	NaN	-1.236503	NaN	NaN	NaN	NaN	0.067501	NaN	NaN	NaN	NaN	-0.209061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.296191	NaN	NaN	NaN	NaN	NaN	NaN	-1.124377	NaN	NaN	NaN	-1.516223	NaN	-1.317247	NaN	0.950244	NaN
29034	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.592702	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.409278	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
29065	NaN	-0.482775	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.469929	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.596405	NaN	NaN	-1.657445	-1.075824	NaN	NaN	NaN	-1.972563	NaN	NaN	-2.236503	-1.708396	NaN	NaN	-0.757062	-0.517461	NaN	-0.968040	-1.918115	-1.711701	-1.793857	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.432065	-1.751465	NaN	NaN	NaN	NaN	NaN	NaN	-1.678996	-1.516223	NaN	NaN	-1.255667	-0.371646	NaN
29075	0.286881	NaN	0.266277	0.610795	NaN	-1.212233	0.073546	0.310805	0.371057	2.617698	0.693766	2.254050	0.402176	2.333710	0.393965	-0.453636	NaN	-1.267080	1.282796	-1.166179	0.899717	0.344828	-1.182131	0.725436	0.771040	-1.546245	-1.657445	-1.075824	-1.084058	0.617204	1.258760	0.612683	NaN	1.436908	1.085289	-0.708396	1.018349	NaN	1.564915	-0.517461	NaN	1.478351	2.081987	NaN	0.205893	0.700972	1.387252	0.629846	-0.061601	1.452279	-1.138600	0.322851	-0.909689	0.464145	-0.919206	NaN	1.377013	0.567935	-0.751465	2.013534	-0.409278	1.787683	-1.124377	-1.161008	2.781779	-0.678765	1.068602	1.348176	0.267716	2.066124	1.213254	4.408427
29092	8.215656	8.628416	8.513054	7.869057	8.577991	7.952649	8.196004	8.045168	7.677875	8.472759	7.789135	8.489836	8.031587	7.865079	7.977857	7.738644	8.177201	8.140032	8.711848	8.084226	8.438854	8.642035	7.634927	8.698163	8.641392	8.356136	7.803839	8.225622	7.534322	7.722530	8.025631	7.582264	7.745756	7.770245	8.099861	8.039785	7.923528	8.161323	8.412902	8.299456	8.740569	8.383033	7.946183	7.988835	8.193199	7.548475	8.500275	8.111635	8.013380	7.579267	8.013634	7.915287	8.430077	8.388925	8.152313	8.009751	8.332747	7.896576	7.748489	8.009769	8.194371	8.115600	7.647161	7.549886	7.833872	7.592602	8.950193	8.511501	8.068558	8.495741	8.005512	8.340734
2970	12.965638	12.411720	12.626269	12.932871	12.603828	13.003654	12.594308	12.971442	12.738833	12.841922	12.906234	12.730877	13.161286	12.726149	12.518332	12.500002	12.593246	12.727824	12.727287	12.459180	12.510028	12.664076	12.551382	12.540133	12.236594	12.416661	12.499628	12.255742	12.212565	12.413172	12.427505	12.788966	12.655950	12.777444	12.347965	12.470646	12.593287	12.334297	12.491053	12.841192	12.662546	12.282688	12.661077	12.362704	12.654825	12.784443	12.769978	12.505777	12.357166	12.685230	12.300791	12.283194	12.581955	12.458584	11.975858	12.448944	12.728465	12.341967	12.571980	12.353752	11.968769	12.423895	12.378752	12.552037	12.979579	12.543934	12.480257	12.711090	12.618874	12.799734	13.249266	12.157916
2974	1.023823	-0.482775	0.266277	-1.714065	-0.206562	NaN	-1.511279	-0.316708	-0.213906	0.530271	NaN	1.379566	-0.597714	1.141040	NaN	NaN	NaN	0.732747	0.282736	1.418892	-0.100360	2.072174	-1.182131	NaN	-1.229044	NaN	0.342327	0.509037	NaN	0.238665	-0.063108	1.612636	0.298658	2.732334	0.570754	-1.708396	1.211012	-0.801632	-0.757062	-0.517461	NaN	0.617016	0.403922	0.288418	1.205955	-0.931260	2.667393	2.330272	-0.646564	0.282380	1.446309	0.322851	1.675184	NaN	0.665848	NaN	-0.287536	1.737817	4.496571	-0.571536	1.175684	-0.382325	-0.124377	-1.161008	1.016282	0.643025	-0.516429	1.121612	0.682663	-1.255667	2.435655	0.048376
29774	3.831208	3.424170	3.910167	4.093332	2.252779	5.460166	3.880960	3.541205	5.400801	3.887798	6.185591	5.186924	4.706011	4.673545	4.986575	4.428993	3.866799	4.686960	5.157258	5.548171	4.627613	3.959705	4.309795	4.973395	3.355989	5.529284	4.834211	4.782104	4.822827	4.838629	2.794832	5.227348	4.106030	5.977454	4.682219	4.291589	4.765588	3.105326	5.197173	4.730401	4.102356	4.076491	3.889347	3.811954	4.775788	5.197979	4.827850	3.536724	4.260274	4.774202	4.883719	4.130181	2.790668	3.201085	4.604415	4.657886	3.882457	3.091463	5.003530	4.072423	5.248956	5.060692	2.782555	3.298512	3.552303	3.321134	3.290955	3.773712	3.142136	3.873479	2.087734	0.048376
29797	-0.298140	NaN	0.266277	-0.714065	-0.206562	1.957655	1.296017	0.683202	0.371057	0.530271	4.366161	1.794603	1.402231	-0.081308	2.418892	1.868292	-0.592702	1.054710	1.505180	0.833902	2.359128	1.072174	0.817951	1.403540	-1.229044	0.914565	-0.072634	1.731487	1.500904	-0.176251	-0.478145	0.349592	0.298658	0.562377	0.763327	-0.708396	0.532965	1.783373	0.827900	0.482435	0.329755	0.032101	0.082021	0.288418	-1.793857	2.238634	0.901881	1.437174	2.260267	1.741791	1.668709	2.644756	0.675184	NaN	1.080862	-1.296191	0.297485	-1.432065	0.570560	1.428571	1.760689	-0.382325	0.460585	-0.160847	-0.305610	1.128491	0.483571	-0.100824	NaN	0.744161	0.213254	0.048376
